USER,INTENT,Slot-Value,Value,B-I-O Tag
What is its color?,Request,NA,NA,O O O O
What is its OS.,Request,NA,NA,O O O O
I want Blu phone.,Request,OS-Bla,Bla,O O B-Brand O
What is its price?,Request,NA,NA,O O O B-Cost
Will you reserve it for me?,BookingReq,NA,NA,O O O O O O
Thank you so much for assisting me.,Close,NA,NA,O O O O O O O
889,,,,
"Hey, I want to buy a phone.",PhoneSelReq,NA,NA,O O O O O O O
I want a multi sim sony phone.,Inform,SIM-Multi,Multi,O O O B-Sim O B-Brand O
what is its camera quality?,Request,NA,NA,O O O O O
What is its storage storage? Because I want a phone with more RAM.,Request,NA,NA,O O O B-Storage B-Weight B-Storage B-Weight O O O O O O O O
I want a Samsung phone with more storage space.,Inform,RAM-Good,High,O O O B-Brand O O O B-Storage B-Weight O
Then it is good foe me. What is its cost?,Request,NA,NA,O O O O O O O O O B-Cost
"Okay, I will take this phone.",BookingReq,NA,NA,O O O O O O
You are a very good salesman. Thanks a lot,Close,NA,NA,O O O O O O O O O
890,,,,
I am looking for a good phone.,PhoneSelReq,NA,NA,O O O O O O O
I want a 2017 released samsung phone.,Inform,"ReleaseDate-2017, Brand-Samsung","2017, Samsung",O O O B-ReleaseDate O B-Brand O
I want Android OS.,Inform,OS-Android,Android,O O B-OS O
What is its color?,Request,NA,NA,O O O O
I want black phone. Black is one of the decent.,Inform,Color-Black,Black,O O B-Colour O B-Colour O O O O O
"Okay if you ensure me, then it is good for me. I want to proceed with booking.",BookingReq,NA,NA,O O O O O O O O O O O O O O O O O
Thanks a lot.,Close,NA,NA,O O O
891,,,,
"Good evening, I am looking for a good phone.",PhoneSelReq,NA,NA,O O O O O O O O O
I am looking for a Asus phone in which Radio works.,Inform,"Brand-Asus, Radio-Y","Asus, Y",O O O O O B-Brand O O O B-Radio O
What is its secondar camera?,Request,NA,NA,O O O O O
Oh I want 5 MP secondary camera in Asus phone. This is really disappoint me.,Inform,S_Camera-5,5,O O O B-Display O O O O B-Brand O O O O O O
"But, still 2 MP is very less.",Feedback,NA,NA,O O O O O O O
"Lovely, what is its cost?",Request,NA,NA,O O O O B-Cost
Book it for me.,BookingReq,NA,NA,O O O O
Thank you so much.,Close,NA,NA,O O O O
892,,,,
"Hey, I need to buy a phone.",PhoneSelReq,NA,NA,O O O O O O O
Phone should have dual camera and high battery capacity.,Inform,"P_Camera-Dual, Battery-high","Dual, High",O O O B-Sim O O O B-Battery O
"No, thats all.",Inform,NA,NA,O O O
What about secondary camera?,Request,NA,NA,O O O O
Oh it is so low.,Feedback,NA,NA,O O O O O
Could it be 13 MP as I take lot of selfies?,Inform,S_Camera-13+,13+,O O O B-Display O O O O O O O
What is its secondary camera?,Request,NA,NA,O O O O O
It sounds great.,Feedback,NA,NA,O O O
"Okay, can you book it for me?",BookingReq,NA,NA,O O O O O O O
Thanks for assistance.,Close,NA,NA,O O O
893,,,,
"Good Evening, I want to buy a cell Phone.",PhoneSelReq,NA,NA,O O O O O O O O O
I want to buy a blackberry phone in black color.,Inform,"Brand-Blackberry, Color-Black","Blackberry, Black",O O O O O B-Brand O O B-Colour O
What is its battery?,Request,NA,NA,O O O B-Battery
What is its cost?,Request,NA,NA,O O O B-Cost
I can afford more. Do you have expensive phone with more benefits?,Inform,Cost-Expensive,Expensive,O O O O O O O O O O O O
"I will not go for lower cost phone as there are trade-offs with lower cost phone , like lower-quality screens and less impressive cameras.",Feedback,NA,NA,O O O O O O O O O O O O O O O O O O O O O O O O
What is its color?,Request,NA,NA,O O O O
I will take it.,BookingReq,NA,NA,O O O O
I am very happy today. Thanks a lot.,Close,NA,NA,O O O O O O O O
894,,,,
"Hi, I want to buy a new phone.",PhoneSelReq,NA,NA,O O O O O O O O
I want at least 64 GB storage and it is from apple ipad.,Inform,"RAM-64, Brand-Apple","64, Apple",O O O O B-Storage B-Weight O B-Storage B-Weight O O O O B-Brand O
What is its weight?,Request,NA,NA,O O O I-Model
Oh that's too heavy. I want light weight ipad.,Inform,Weight-Lightweight,Lightweight,O O O O O O O I-Model O
"No, I want something which is more lighter than this.",Feedback,NA,NA,O O O O O O O O O O
What is its price?,Request,NA,NA,O O O B-Cost
"Cool, I will take it.",BookingReq,NA,NA,O O O O O
Thank you so much.,Close,NA,NA,O O O O
895,,,,
"Hello, I am in urgent need of a good phone.",PhoneSelReq,NA,NA,O O O O O O O O O O
Camera quality must be good.,Inform,"P_Camera-Good, S_Camera-Good, Weight-Lightweight","High, High, Lightweight",O O O O O
What is its OS?,Request,NA,NA,O O O O
Oh I don't want iOS. I find it annoying. It is not compatible with other phones.,Inform,OS-Mic,Mic,O O O O O O O O O O O O O O O O
". Okay, I trust you. What is its price?",Request,NA,NA,O O O O O O O O B-Cost
Okay. can you reserve it for me?,BookingReq,NA,NA,O O O O O O O
Thank you for your time,Close,NA,NA,O O O O O
896,,,,
"Hi, I want to buy a phone.",PhoneSelReq,NA,NA,O O O O O O O
I want 2017 released Samsung phone with dual camera.,Inform,"ReleaseDate-2017, Brand-Samsung, P_Camera-Dual","2017, Samsung, Dual",O O B-ReleaseDate O B-Brand O O B-Sim O
What is its cost?,Request,NA,NA,O O O B-Cost
What is its weight?,Request,NA,NA,O O O I-Model
I don't want heavy weight phone. I want light weight phone around 140 gms.,Inform,Weight-140-,140-,O O O O I-Model O O O O I-Model O O O O
I don't find comfortable holding heavy weight phone for longer time. I want much lighter than that.,Feedback,NA,NA,O O O O O O I-Model O O O O O O O O O O
"Yes, it is fine for me. I want to proceed with booking.",BookingReq,NA,NA,O O O O O O O O O O O O
Thanks a lot,Close,NA,NA,O O O
897,,,,
"Hello, I am looking for a good phone.",PhoneSelReq,NA,NA,O O O O O O O O
"It should be DualSim, GPS operated, less weight phone.",Inform,"Sim-Dual, GPS-Y, Weight-Less","Dual, Y, Less",O O O O B-GPS O O I-Model O
"Great, what is its Released Year and Released Month?",Request,NA,NA,O O O O O O O O O
"oh, that's an old phone. Do you have 2017 released phone?",Inform,ReleaseDate-2017,2017,O O O O O O O O B-ReleaseDate O O
"Okay, I trust you. What is its cost?",Request,NA,NA,O O O O O O O B-Cost
What is its weight,Request,NA,NA,O O O I-Model
"Okay, I like this phone. Pack it for me.",BookingReq,NA,NA,O O O O O O O O O
Thanks a lot for your time,Close,NA,NA,O O O O O O
898,,,,
"Hi, I want to buy a phone",PhoneSelReq,NA,NA,O O O O O O O
"Actually, I am not restricted to any particular model but I need to have a phone that has good camera and small display size.",Inform,"P_Camera-Good, S_Camera-Good, Display-Small","High, High, Small",O O O O O O O O O O O O O O O O O O O O O O O O
What is its memory? I want more RAM in my phone.,Request,NA,NA,O O O O O O O O O O O
Oh that's too less. I want higher memory phone.,Inform,"RAM-Good, RAM-Good","High, High",O O O O O O O O O
But external storage devices such as memory cards face a chance of data corruption due to physical or liquid damage. So I need high internal storage phone. At least 32GB.,Feedback,NA,NA,O O B-Storage B-Weight O O O O O O O O O O O O O O O O O O O O O O B-Storage B-Weight O O O O
What is its color? I want it in black color.,Request,NA,NA,O O O O O O O O B-Colour O
"Okay, I want to proceed with billing.",BookingReq,NA,NA,O O O O O O O
Thank you so much.,Close,NA,NA,O O O O
899,,,,
"Hi, I am interested in buying a phone.",PhoneSelReq,NA,NA,O O O O O O O O
"Yes, it should be light weight and should have big size screen.",Inform,"Weight-Lightweight, Display-Big","Lightweight, Big",O O O O O B-Weight O O O O O B-Display
Is it a DualSim phone?,Request,Sim-Dual,Dual,O O O B-Sim O
"Can you recommend DualSim , light weight and big screen phone?",Inform,Sim-Dual,Dual,O O O B-Sim O O B-Weight O O B-Dispaly O
But I use two sim so would require DualSim phone.,Feedback,NA,NA,O O O O O O O O B-Sim O
What is its price?,Request,NA,NA,O O O B-Cost
Lovely it is under my budget. I will buy it.,BookingReq,NA,NA,O O O O O B-cost O O O O
Thank you so much,Close,NA,NA,O O O O
900,,,,
"Good Evening, I am in urgent need of a phone.",PhoneSelReq,NA,NA,O O O O O O O O O O
It should be black color samsung phone.,Inform,"Color-Black, Model-Samsung","Black, Samsung",O O O B-Colour O B-Brand O
What is its memory?,Request,NA,NA,O O O B-RAM
What is its price?,Request,NA,NA,O O O B-Cost
I can afford more expensive than this one.,Inform,Cost-Expensive,Expensive,O O O O O O O O
But I want in higher range as I don't want to compromise on quality.,Feedback,NA,NA,O O O O O O O O O O O O O O
What is its color?,Request,NA,NA,O O O B-Color
"Lovely, I will buy it.",BookingReq,NA,NA,O O O O O
Thanks a lot.,Close,NA,NA,O O O
901,,,,
"Hello, I want a good phone.",PhoneSelReq,NA,NA,O O O O O O
I want an apple phone with storage of atleast 16 GB .,Inform,"Brand-Apple, RAM-16+","Apple, 16+",O O O B-Brand O O O O O B-Storage O
What is its price?,Request,NA,NA,O O O B-Cost
It is very costly. Do you have phone under 400 Euro?,Inform,Cost-400-,400-,O O O O O O O O O B-Cost O
But I can't go beyond 500 Euro.,Feedback,NA,NA,O O O O O B-Cost O
What is its color?,Request,NA,NA,O O O B-Color
What is its storage?,Request,NA,NA,O O O B-Storage
"Okay, I want to proceed with booking.",BookingReq,NA,NA,O O O O O O O
Thanks a lot.,Close,NA,NA,O O O
902,,,,
"I want to buy a phone, which fulfills all my requirements.",PhoneSelReq,NA,NA,O O O O O O O O O O O
Camera should be great and OS should be android.,Inform,"P_Camera-Good, S_Camera-Good, OS-Android","High, High, Android",B-Camera O O O O B-Os O B-Os
How much storage does it offer? I need great storage phone.,Request,NA,NA,O O B-Storage O O O O O O B-Storage O
Can you suggest a phone with 64 GB storage?,Inform,RAM-64,64,O O O O O O B-Storage O O
I don't want to use SD card as its speed is not same as primary memory. so suggest me the another one.,Feedback,NA,NA,O O O O O B- RAM O O O O O O O O O B-RAMO O O O O O
How much storage does it offer?,Request,NA,NA,O O B-Storage O O O
How much will it cost to me?,Request,NA,NA,O O O O B-Cost O O
"Okay, can you pack this phone?",BookingReq,NA,NA,O O O O O O
Thanks for help.,Close,NA,NA,O O O
903,,,,
"Hi, I want a amazing phone.",PhoneSelReq,NA,NA,O O O O O O
I want Motorola phone with less weight.,Inform,"Brand-Motorola, Weight-Lightweight","Motorola, Lightweight",O O B-Brand O O O B-Weight
What is its OS?,Request,NA,NA,O O O B-Os
"Oh, android OS is annoying. Do you have Mic operating phone?",Inform,OS-Mic,Mic,O B-OS O O O O O O B-Os O O
what is its battery?,Request,NA,NA,O O O B-Battery
What is its cost?,Request,NA,NA,O O O B-Cost
"Okay, can you pack this phone?",BookingReq,NA,NA,O O O O O O
Thanks for help.,Close,NA,NA,O O O
904,,,,
"Hi, I want a phone.",PhoneSelReq,NA,NA,O O O O O
I want to buy a apple phone with good camera.,Inform,"Brand-Apple, P_Camera-Good, S_Camera-Good","Apple, High, High",O O O O O B-Brand O O O B-Camera
What is its camera quality?,Request,NA,NA,O O O B-Camera O
"Oh, I want dual camera phone",Inform,P_Camera-Dual,Dual,O O O B-Camera O
"Cool, what is its memory?",Request,NA,NA,O O O O B-RAM
What is its cost?,Request,NA,NA,O O O B-Cost
"Cool, I will purchase it.",BookingReq,NA,NA,O O O O O
Thanks a lot,Close,NA,NA,O O O
905,,,,
"Good Evening, I am looking for best smartphone",PhoneSelReq,NA,NA,O O O O O O O O
"Nothing in Particular, I want a latest released phone in which GPS works.",Inform,"ReleaseDate-2017, GPS-Y","2017, Y",O O O O O O O B-Released O O O B-GPS O
Oh I don't want Coolpad brand phone. I would prefer in Samsung.,Inform,Brand-Non Coolpad,Non Coolpad,O O O O B-Brand O O O O O O O
I am not comfortable using this brand so would go for some other.,Feedback,NA,NA,O O O O O O B-Brand O O O O O O
What is its price?,Request,NA,NA,O O O B-Cost
What is its battery capacity?,Request,NA,NA,O O O B-Battery O
"Okay , I think I will buy it.",BookingReq,NA,NA,O O O O O O O O
Thanks a lot for helping me in choosing a good phone,Close,NA,NA,O O O O O O O O O O O
906,,,,
"Good Evening, I need a very good smartphone.",PhoneSelReq,NA,NA,O O O O O O O O
I need to have best iOS Apple phone for known for primary photography.,Inform,"Brand-Apple, OS-iOS, P_Camera-Good","Apple, iOS, High",O O O O O B-OS B-Brand O O O O O O
What is its color?,Request,Colour-UNK,UNK,O O O B-color
What is its weight?,Request,Weight-UNK,UNK,O O O B-Weight
It's too bulky. I want light weight phone.,Reject,Weight-Lightweight,Lightweight,O O O O O O B-Weight O
I want light weight phone as it is handy.,Feedback,NA,NA,O O O B-Weight O O O O
What is its price?,Request,Cost-UNK,UNK,O O O B-Cost
"Okay, I will take this phone.",BookingReq,NA,NA,O O O O O O
Thanks a ton.,Close,NA,NA,O O O
907,,,,
"Hey, I want to purchase a phone.",PhoneSelReq,NA,NA,O O O O O O O
I want an apple phone and its released date should be 2016,Inform,"Apple, ReleaseDate-2016","Apple, 2016",O O O B-Brand O O O O O O O B-ReleaseDate
How about its camera quality?,Request,Camera-UNK,UNK,O O O B-Color O
What about its color?,Request,Colour-UNK,UNK,O O O B-Color
Oh I don't want Jet Black color. I want in blue.,Inform,Color-Blue,Blue,O O O O B-Colour O O O O O
what is its cost?,Request,Cost-UNK,Cost-UNK,O O O B-Cost
"Okay, I will take this phone.",BookingReq,NA,NA,O O O O O O
Thanks a lot.,Close,NA,NA,O O O
908,,,,
Hello there.,Gratitude,NA,NA,O O
I am looking for an amazing phone.,PhoneSelReq,NA,NA,O O O O O O O
I want a small display size samsung phone with good battery life.,Inform,"Brand-Samsung, Display-Small, Battery-Good","Samsung, Small, High",O O O O B-Display O B-Brand O O O B-Battery O
I want in white color.,Inform,Color-White,White,O O O B-Colour O
What is its OS.,Request,NA,NA,O O O B-OS
I don't want android OS phone. I am comfortable with Mic operating phone,Reject,OS-Mic,Mic,O O O B-OS O O O O O O B-Os O O
"Okay, I will book it.",BookingReq,NA,NA,O O O O O
Thanks a lot.,Close,NA,NA,O O O
909,,,,
"Hello, I want to purchase a nice phone for office use.",PhoneSelReq,NA,NA,O O O O O O O O O O O
I don't have much requirement. I want Blackberry phone with good battery.,Inform,"Brand-Blackberry, Battery-Good","Blackberry, Good",O O O O O O O B-Brand O O O B-Battery
What is its primary and secondary camera quality?,Request,NA,NA,O O O O O O B-Camera O
"Oh, I often click pictures so I want higher quality camera too.",Reject,"P_Camera-Good, S_Camera-Good","High, High",O O O O O O O O O O B-Camera O
But still it seems less for me.,Feedback,NA,NA,O O O O O O O
What is its price?,Request,Cost-UNK,UNK,O O O B-Cost
I will buy it.,BookingReq,NA,NA,O O O O
Thank you.,Close,NA,NA,O O
910,,,,
"Hi, Good Morning.",Gratitude,NA,NA,O O O
I am in search of a good phone for my sister.,PhoneSelReq,NA,NA,O O O O O O O O O O O
I want Asus phone and price should be around 300 Euro.,Inform,"Brand-Asus, Cost-300-","Asus, 300-",O O B-Brand O O O O O O B-Cost O
What is its battery?,Request,NA,NA,O O O B-Battery
Oh that seems little less. I travel a lot so need a phone wth good battery.,Inform,Battery-Good,High,O O O O O O O O O O O O O O O B-Battery
Okay but while travelling I also watch lots of videos.,Feedback,NA,NA,O O O O O O O O O O
How much will it cost?,Request,Cost-UNK,UNK,O O O O B-Cost
I will take this phone.,BookingReq,NA,NA,O O O O O
Thanks a lot.,Close,NA,NA,O O O
911,,,,
"Hello, I need a good phone.",PhoneSelReq,NA,NA,O O O O O O
"Not much, It should be recently launched phone with good camera.",Inform,"ReleaseDate-2017, P_Camera-Good, S_Camera-Good","2017, High, High",O O O O O O B-Released O O O B-Camera
What is its weight?,Request,NA,NA,O O O B-Weight
Oh thats a bit heavy mobile. I want a sleek and slim phone. which is easy to carry.,Inform,Weight-Lightweight,Lightweight,O O O O O O O O O O O B-Weight O O O O O O
But I want a sleek phone that can fit easily anywhere I want.,Inform,NA,NA,O O O O O O O O O O O O O
What is its cost?,Request,NA,NA,O O O B-Cost
What is its weight?,Request,NA,NA,O O O B-Weight
"Okay, I like this phone. Pack it for me.",BookingReq,NA,NA,O O O O O O O O O
Thanks you.,Close,NA,NA,O O
912,,,,
"Hi, I need to purchase a phone.",PhoneSelReq,NA,NA,O O O O O O O
"Well, I am not particularly restricted to any brand but I want high memory and dual sim in my cellphone.",Inform,"RAM-Good, RAM-Good, Sim-Dual","High, Dual",O O O O O O O O B-Brand O O O O B-Memory O B-Sim O O O O
What is its memory?,Request,NA,NA,O O O B-RAM
"Superb, What is its cost?",Request,NA,NA,O O O O B-Cost
"Oh, that's a bit costly for me. Do you have 64 GB storage phone at less price?",Inform,"RAM-4, Cost-Less","4, Less",O O O O O O O O O O B-RAM O O O O O B-Cost
Obviously with extra costs comes extra features but sorry can't afford it.,Feedback,NA,NA,O O O B-Cost O O O O O O O O
What is its color?,Request,NA,NA,O O O B-Color
Book this one for me.,BookingReq,NA,NA,O O O O O
Thanks a ton.,Close,NA,NA,O O O
913,,,,
"Hi, I need a phone.",PhoneSelReq,NA,NA,O O O O O
"Yes, it should be OS should be Android and it should be light weight and big screen.",Inform,"OS-Android, Weight-Lightweight, Display-Big","Android, Lightweight, Big",O O O O O O O B-OS O O O O O B-Weight O O B-Display
What is its color?,Request,NA,NA,O O O B-Color
"Oh, I don't like this color. Do you have the same phone in grey color?",Inform,Color-Grey,Grey,O O O O O B-color O O O O O O O B-Colour O
What is its price?,Request,NA,NA,O O O B-Cost
Is there any discount?,Request,NA,NA,O O O O
Okay then book this one for me.,BookingReq,NA,NA,O O O O O O O
Thank you so much.,Close,NA,NA,O O O O
914,,,,
"Good Evening, I want a phone.",PhoneSelReq,NA,NA,O O O O O O
I want good camera Oneplus phone.,Inform,"Brand-Oneplus, P_Camera-Good, S_Camera-Good","Oneplus, High, High",O O O B-Camera B-Brand O
What is its memory?,Request,NA,NA,O O O B-RAM
What is its cost?,Request,NA,NA,O O O B-Cost
I can't buy this phone. My budget is less around 300 Euro. Can you suggest a mobile in less cost?,Inform,Cost-300-,300-,O O O O O O O O O O B-Cost O O O O O O O O B-Cost
But I don't have much money.,Feedback,NA,NA,O O O O B-Cost O
What is its color?,Request,NA,NA,O O O B-color
"Superb, I am buying it.",BookingReq,NA,NA,O O O O O
Thanks a ton.,Close,NA,NA,O O O
915,,,,
"Hello , Kindly help me in choosing a good phone for my wife?",PhoneSelReq,NA,NA,O O O O O O O O O O O O O
I want to buy a Samsung multisim phone.,Inform,"Brand-Samsung, SIM-Multi","Samsung, Multi",O O O O O B-Brand O O
"I have limited money for the phone, it should be under 260 Euro.",Inform,Cost-260-,260-,O O O O O O O O O O O B-Cost O
What is its display size?,Request,NA,NA,O O O B-Display O
I want a phone which has medium display size.,Inform,Display-Medium,Medium,O O O O O O O B-Display O
"Her palm is small, she will not feel comfortable carrying big screen phone in her hand.",Feedback,NA,NA,O O O O O O O O O B-display  O O O O O
What is its price?,Request,NA,NA,O O O B-Cost
"Perfect, I will take it. Kindly gift wrap it.",BookingReq,NA,NA,O O O O O O O O O
Thanks a ton.,Close,NA,NA,O O O
916,,,,
"Hi, I want to buy a phone.",PhoneSelReq,NA,NA,O O O O O O O
"Yes, it should have good battery and also GPS and radio should work on it.",Inform,"Battery-Good, GPS-Y, Radio-Y","High, Y, Y",O O O O O B-Battery O O B-GPS O B-Radio O O O O
What is its color?,Request,NA,NA,O O O B-Color
I am looking for Grey color.,Inform,Color-Grey,Grey,O O O O B-Colour O
Still I love Grey color.,Feedback,NA,NA,O O O B-Colour O
What is its cost?,Request,NA,NA,O O O B-Cost
Ok book this one for me.,BookingReq,NA,NA,O O O O O O
Thanks for helping me.,Close,NA,NA,O O O O
917,,,,
"Hello, I want a reliable phone as I travel a lot.",PhoneSelReq,NA,NA,O O O O O O O O O O O
I want sturdy phone so would like to buy Nokia phone at reasonable price around 200.,Inform,"Brand-Nokia, Cost-200-","Nokia, 200-",O O O O O O O O O B-Brand O O O O O B-Cost
What is its weight?,Request,NA,NA,O O O B-Weight
Oh it's a bit heavy. I need lighter phone.,Inform,Weight-Lightweight,Lightweight,O O O O O O O B-Weight O
Yes I get your point but would still prefer lighter phone.,Feedback,NA,NA,O O O O O O O O O B-Weight O
What is its color?,Request,NA,NA,O O O B-Color
I will take it then.,BookingReq,NA,NA,O O O O O
Thannk you.,Close,NA,NA,O O
918,,,,
"Hey, I want to buy a phone.",PhoneSelReq,NA,NA,O O O O O O O
I want to buy Blackberry phone and weight should also be light.,Inform,"Brand-Blackberry, Weight-Lightweight","Blackberry, Lightweight",O O O O B-Brand O O B-Weigh O O O O
How is the camera quality?,Request,NA,NA,O O O B-Camera O
That's very good. What is its display screen size?,Request,NA,NA,O O O O O O B-Display O O
Oh that's big. I want medium display size phone.,Inform,Display-Medium,Medium,O O O O O O B-Display O O
Medium screen size phone is easy to carry.,Feedback,NA,NA,B-Display O O O O O O O
What is its price?,Request,NA,NA,O O O B-Cost
"Perfect, I will take it. Kindly gift wrap it.",BookingReq,NA,NA,O O O O O O O O O
Thanks a ton.,Close,NA,NA,O O O
919,,,,
"Hi, I need a good phone.",PhoneSelReq,NA,NA,O O O O O O
I want to buy 2016 Samsung cellphone as its price has reduced.,Inform,"Brand-Samsung, ReleaseDate-2016","Samsung, 2016",O O O O B-ReleaseDate B-Brand O O O B-Cost O O
What is its battery?,Request,NA,NA,O O O B-Battery
What is its color?,Request,NA,NA,O O O B-Color
What is its cost?,Request,NA,NA,O O O B-Cost
It's too costly for me. My budget is 250.,Inform,Cost-250-,250-,O O O O O O O O B-Cost
I know it is a good phone but can not afford it. I have budget constraints.,Feedback,NA,NA,O O O O O O O O O O O O O O B-Cost O
Ok book this for me.,BookingReq,NA,NA,O O O O O
Thanks for help.,Close,NA,NA,O O O
920,,,,
"Hello, I need a phone.",PhoneSelReq,NA,NA,O O O O O
I want a Gionee phone with storage of at least 32 GB.,Inform,"Brand-Gionee, RAM-32","Gionee, 32",O O O B-Brand O O B-Storage O O O B-RAM O
What is its battery?,Request,NA,NA,O O O B-Battery
"Oh that's less, show me other cellphone with better battery?",Inform,Battery-Good,High,O O O O O O O O O B-Battery
Does it has multiSim?,Request,SIM-Multi,Multi,O O O B-SIM
"Okay, can you pack this phone?",BookingReq,NA,NA,O O O O O O
Thanks for help.,Close,NA,NA,O O O
921,,,,
"Hello , I want sturdy phone as I accidently drop phone many times",PhoneSelReq,NA,NA,O O O O O O O O O O O O O
It should be light weight and gps should work on it.,Inform,"Weight-Lightweight, GPS-Y","Lightweight, Y",O O O O I-Model O B-GPS O O O O
What is its display size?,Request,NA,NA,O O O B-Display O
Sorry show me a big display screen size mobile. I want a big display size phone as I love watching videos.,Inform,Display-Big,Big,O O O O O  B-Display O O O O O O O O O O O O O O O
Yeah but I am not a big fan of small screen size phone.,Feedback,NA,NA,O O O O O O O O O O B-Display O O
What color is it available?,Request,NA,NA,O B-Color O O O
"Okay, I will buy it then.",BookingReq,NA,NA,O O O O O O
Thank you so much,Close,NA,NA,O O O O
922,,,,
"Hey, I want to buy a trendy phone.",PhoneSelReq,NA,NA,O O O O O O O O
"Hi, I want to buy the best android samsung phone.",Inform,"Brand-Samsung, OS-Android","Samsung, Android",O O O O O O O B-OS B-Brand O
Yes cost should be under 800 Euro.,Inform,Cost-800-,800-,O O O O O B-Cost O
What is its RAM?,Request,NA,NA,O O O B-RAM
Oh that's too less for my daily work.,Inform,"RAM-Good, RAM-Good","High, High",O O O O O O O O
What is its cost?,Request,NA,NA,O O O B-Cost
"Okay, book this phone.",BookingReq,NA,NA,O O O O
Thanks for help.,Close,NA,NA,O O O
923,,,,
"Hi, suggest me a nice phone.",PhoneSelReq,NA,NA,O O O O O O
It should be single sim phone and 2016 launched phone.,Inform,"Sim-Single, ReleaseDate-2016","Single, 2016",O O O O B-SIM O O B-ReleaseDate O O
What is its cost?,Request,NA,NA,O O O B-Cost
what is it's color?,Request,NA,NA,O O O B-Color
"Oh , is it available in blue?",Inform,Color-Blue,Blue,O O O O O O B-Color
Ok I will take this phone.,BookingReq,NA,NA,O O O O O O
Thanks for help.,Close,NA,NA,O O O
924,,,,
"Hi, I want to buy a mobile.",PhoneSelReq,NA,NA,O O O O O O O
Show me a good LG mobile with decent battery life.,Inform,"Brand-LG, Battery-Good","LG, High",O O O O B-Brand O O O B-Battery O
How much is it for?,Request,NA,NA,O B-Cost O O O
Oh it's very expensive. Show me a phone under 200 Euro.,Inform,Cost-250-,250-,O O O O O O O O O B-Cost O
May be next time. I can't afford it now. My budget is 200 Euro.,Feedback,NA,NA,O O O O O O O O O O O O B-Cost O
Sounds perfect. I will buy it.,BookingReq,NA,NA,O O O O O O
It was nice interacting with you. Thanks for your patience and help.,Close,NA,NA,O O O O O O O O O O O O
925,,,,
"Hi, I want to buy a new phone",PhoneSelReq,NA,NA,O O O O O O O O
It should be Xiaomi brand with multi sim slots and cost around 250,Inform,"Brand-Xiaomo , SIM-Multi, Cost-250-","Xiaomi, Multi, 250-",O O O B-Brand O O O  B-Sim O O O O B-Cost
"No , that's it.",Inform,NA,NA,O O O O
what is its price?,Request,NA,NA,O O O B-Cost
Does Radio works on it?,Request,NA,NA,O B-Radio O O O
Oh but I often listen to Radio,Inform,Radio-Y,Y,O O O O O O B-Radio
"Okay, Can you book it for me?",BookingReq,NA,NA,O O O O O O O
Thanks a lot,Close,NA,NA,O O O
926,,,,
"Hey, show me a good phone. I need to buy it",PhoneSelReq,NA,NA,O O O O O O O O O O O
It should be Oppo phone with good memory and high primary camera quality.,Inform,"Brand-Oppo, Memory-Good, P_Camera-Good","Oppo, High, High",O O O B-Brand O O O B-RAM O O O B-Camera O
What is its cost?,Request,NA,NA,O O O B-Cost
What is its sim slot?,Request,NA,NA,O O O B-SIM O
This is cheap. Show me medium range phone around 400 plus,Inform,Cost-400+,400+,O O O O O O O O O B-Cost O
"But with higher range I would get good processor, good camera optimization, big battery and quick charging, and a good looking design",Feedback,NA,NA,O O O O O O O O I-Processor O B-Camera O O B-Battery O O O O O O O O
How much does it cost?,Request,NA,NA,O O O O B-Cost
ok can you book it for me,BookingReq,NA,NA,O O O O O O O
Thanks for help,Close,NA,NA,O O O
927,,,,
"Hey, Show me a new sturdy phone?",PhoneSelReq,NA,NA,O O O O O O O
Suggest me a less cost phone with good camera.,Inform,"Cost-Less, P_Camera-Good, S_Camera-Good","Less, High, High",O O O O B-Cost O O O B-Camera
What about its camera?,Request,NA,NA,O O O B-Camera
What about its sim slots?,Request,NA,NA,O O O B-SIM O
What is its memory?,Request,NA,NA,O O O B-RAM
"oh, that seems little less. I want a phone with higher storage",Inform,RAM-Good,High,O O O O O O O O O O O B-Storage.
But I feel my phone should have enough RAM so that it could perform all tasks easily with the quickness.,Feedback,NA,NA,O O O O O O O O B-RAM O O O O O O O O O O O
ok can you book it for me,BookingReq,NA,NA,O O O O O O O
Thanks a lot for your time,Close,NA,NA,O O O O O O
928,,,,
"Hello, I want a new phone.",PhoneSelReq,NA,NA,O O O O O O
I want to buy a small display size phone with good camera quality,Inform,"Display-Small, P_Camera-Good, S_Camera-Good","Small, High, High",O O O O O O B-Display O O O O B-Camera O
What is its battery?,Request,NA,NA,O O O B-Battery
What color is it?,Request,NA,NA,O B-color O O
What is its released year?,Request,NA,NA,O O O B-Released year O
"Oh, I forgot to mention. Show me latest released year phone",Inform,ReleaseDate-Latest,Latest,O O O O O O O O B-Released year O O
"Yes, but I want the latest phone.",Feedback,NA,NA,O O O O O B-latest O
What is its price?,Request,NA,NA,O O O B-Cost
"Ok, can you book it for me?",BookingReq,NA,NA,O O O O O O O
Thanks a lot for your time,Close,NA,NA,O O O O O O
929,,,,
"Hello, I want a new phone.",PhoneSelReq,NA,NA,O O O O O O
I want Google phone with 64 GB storage,Inform,"Brand-Google, RAM-64","Google, 64",O O B-Brand O O B-Storage O O
What is its display size?,Request,NA,NA,O O O B-Display O
oh I can't buy this. It's big. I want medium display size that's good enough to do anything on phone.,Inform,Display-Medium,Medium,O O O O O O O O O B-Display O O O O O O O O O O
